"","Package","Built"
"1","abind","3.3.0"
"2","acepack","3.3.0"
"3","assertthat","3.3.2"
"4","backports","3.3.2"
"5","base64enc","3.3.0"
"6","bdsmatrix","3.3.0"
"7","bindr","3.3.2"
"8","bindrcpp","3.3.2"
"9","bit","3.3.0"
"10","bit64","3.3.2"
"11","bitops","3.3.0"
"12","blob","3.3.2"
"13","brew","3.3.0"
"14","broom","3.3.2"
"15","Cairo","3.3.0"
"16","callr","3.3.0"
"17","car","3.3.2"
"18","caret","3.3.2"
"19","caTools","3.3.0"
"20","cellranger","3.3.0"
"21","checkmate","3.3.2"
"22","chemometrics","3.3.2"
"23","chron","3.3.2"
"24","clipr","3.3.3"
"25","clisymbols","3.3.2"
"26","cmprsk","3.3.0"
"27","coda","3.3.2"
"28","colorspace","3.3.2"
"29","commonmark","3.3.2"
"30","covr","3.3.2"
"31","cowplot","3.3.2"
"32","crayon","3.3.0"
"33","crosstalk","3.3.2"
"34","curl","3.3.2"
"35","DAAG","3.3.0"
"36","data.table","3.3.2"
"37","DBI","3.3.2"
"38","dbplyr","3.3.2"
"39","deldir","3.3.2"
"40","DEoptimR","3.3.2"
"41","desc","3.3.2"
"42","deSolve","3.3.2"
"43","devtools","3.3.2"
"44","dichromat","3.3.0"
"45","digest","3.3.2"
"46","doParallel","3.3.0"
"47","dplyr","3.3.2"
"48","DT","3.3.0"
"49","dtplyr","3.3.2"
"50","e1071","3.3.2"
"51","estimability","3.3.2"
"52","evaluate","3.3.2"
"53","exactRankTests","3.3.2"
"54","expm","3.3.2"
"55","fastmatch","3.3.2"
"56","ff","3.3.0"
"57","ffbase","3.3.0"
"58","filehash","3.3.2"
"59","forcats","3.3.2"
"60","foreach","3.3.0"
"61","formatR","3.3.2"
"62","Formula","3.3.2"
"63","fs","3.3.3"
"64","fts","3.3.0"
"65","gam","3.3.2"
"66","gapminder","3.3.0"
"67","gdata","3.3.2"
"68","gdtools","3.3.2"
"69","geosphere","3.3.0"
"70","GGally","3.3.2"
"71","ggplot2","3.3.2"
"72","ggplot2movies","3.3.0"
"73","ggpubr","3.3.2"
"74","ggrepel","3.3.2"
"75","ggsci","3.3.2"
"76","ggsignif","3.3.2"
"77","gh","3.3.2"
"78","git2r","3.3.3"
"79","glue","3.3.2"
"80","gmailr","3.3.0"
"81","gmodels","3.3.0"
"82","gridExtra","3.3.0"
"83","gtable","3.3.0"
"84","gtools","3.3.0"
"85","haven","3.3.2"
"86","here","3.3.2"
"87","hexbin","3.3.0"
"88","highlight","3.3.2"
"89","highr","3.3.0"
"90","Hmisc","3.3.2"
"91","hms","3.3.2"
"92","htmlTable","3.3.2"
"93","htmltools","3.3.2"
"94","htmlwidgets","3.3.2"
"95","httpuv","3.3.2"
"96","httr","3.3.2"
"97","hunspell","3.3.2"
"98","ibdreg","3.3.0"
"99","igraph","3.3.2"
"100","ini","3.3.3"
"101","intergraph","3.3.0"
"102","irlba","3.3.2"
"103","iterators","3.3.0"
"104","itertools","3.3.0"
"105","jpeg","3.3.0"
"106","jsonlite","3.3.2"
"107","km.ci","3.3.0"
"108","KMsurv","3.3.0"
"109","knitr","3.3.2"
"110","labeling","3.3.0"
"111","Lahman","3.3.2"
"112","lars","3.3.0"
"113","latticeExtra","3.3.0"
"114","lazyeval","3.3.0"
"115","lazyrmd","3.3.0"
"116","LearnBayes","3.3.0"
"117","lintr","3.3.2"
"118","lme4","3.3.2"
"119","lmtest","3.3.2"
"120","lsmeans","3.3.2"
"121","lubridate","3.3.0"
"122","magrittr","3.3.0"
"123","mapproj","3.3.2"
"124","maps","3.3.2"
"125","maptools","3.3.2"
"126","markdown","3.3.2"
"127","MatrixModels","3.3.0"
"128","maxLik","3.3.0"
"129","maxstat","3.3.2"
"130","mclust","3.3.2"
"131","memoise","3.3.2"
"132","mice","3.3.2"
"133","microbenchmark","3.3.0"
"134","mime","3.3.0"
"135","miniUI","3.3.0"
"136","minqa","3.3.0"
"137","miscTools","3.3.2"
"138","mnormt","3.3.0"
"139","ModelMetrics","3.3.0"
"140","modelr","3.3.2"
"141","mondate","3.3.0"
"142","multcomp","3.3.0"
"143","munsell","3.3.0"
"144","mvtnorm","3.3.2"
"145","nanotime","3.3.2"
"146","network","3.3.0"
"147","nloptr","3.3.0"
"148","nycflights13","3.3.2"
"149","openssl","3.3.2"
"150","packagedocs","3.3.0"
"151","pbkrtest","3.3.2"
"152","pcaPP","3.3.2"
"153","pkgconfig","3.3.2"
"154","plm","3.3.2"
"155","plotly","3.3.2"
"156","pls","3.3.2"
"157","plyr","3.3.0"
"158","png","3.3.0"
"159","polspline","3.3.0"
"160","praise","3.3.0"
"161","prettyunits","3.3.0"
"162","progress","3.3.2"
"163","psych","3.3.2"
"164","purrr","3.3.2"
"165","quadprog","3.3.0"
"166","quantmod","3.3.2"
"167","quantreg","3.3.2"
"168","R6","3.3.2"
"169","RColorBrewer","3.3.0"
"170","Rcpp","3.3.2"
"171","RcppCCTZ","3.3.2"
"172","RCurl","3.3.0"
"173","readr","3.3.2"
"174","readxl","3.3.2"
"175","rematch","3.3.0"
"176","reshape","3.3.2"
"177","reshape2","3.3.0"
"178","rex","3.3.0"
"179","rgl","3.3.2"
"180","rJava","3.3.0"
"181","RJSONIO","3.3.0"
"182","rlang","3.3.2"
"183","rmarkdown","3.3.2"
"184","rms","3.3.2"
"185","RMySQL","3.3.2"
"186","robustbase","3.3.2"
"187","roxygen2","3.3.2"
"188","RPostgreSQL","3.3.2"
"189","rprojroot","3.3.2"
"190","RSQLite","3.3.2"
"191","rstudioapi","3.3.0"
"192","rversions","3.3.0"
"193","rvest","3.3.0"
"194","sandwich","3.3.2"
"195","SASxport","3.3.0"
"196","scagnostics","3.3.0"
"197","scales","3.3.2"
"198","scatterplot3d","3.3.2"
"199","selectr","3.3.2"
"200","shiny","3.3.2"
"201","shinyAce","3.3.0"
"202","shinyFiles","3.3.0"
"203","shinyjs","3.3.2"
"204","sna","3.3.0"
"205","som","3.3.0"
"206","sourcetools","3.3.2"
"207","sp","3.3.2"
"208","spam","3.3.0"
"209","SparseM","3.3.2"
"210","spdep","3.3.2"
"211","sphet","3.3.0"
"212","splm","3.3.2"
"213","statnet.common","3.3.2"
"214","stringdist","3.3.2"
"215","stringi","3.3.2"
"216","stringr","3.3.2"
"217","strucchange","3.3.0"
"218","survminer","3.3.2"
"219","survMisc","3.3.2"
"220","svglite","3.3.0"
"221","tables","3.3.2"
"222","testit","3.3.2"
"223","testthat","3.3.0"
"224","TH.data","3.3.2"
"225","tibble","3.3.2"
"226","tidyr","3.3.2"
"227","tidyselect","3.3.2"
"228","tidyverse","3.3.2"
"229","tikzDevice","3.3.0"
"230","timeDate","3.3.0"
"231","timeSeries","3.3.0"
"232","tis","3.3.2"
"233","tripack","3.3.2"
"234","tseries","3.3.2"
"235","TTR","3.3.2"
"236","usethis","3.3.3"
"237","V8","3.3.2"
"238","viridis","3.3.2"
"239","viridisLite","3.3.2"
"240","webshot","3.3.2"
"241","whisker","3.3.0"
"242","withr","3.3.2"
"243","XML","3.3.2"
"244","xml2","3.3.2"
"245","xpose4","3.3.2"
"246","xtable","3.3.0"
"247","xts","3.3.2"
"248","yaml","3.3.2"
"249","zoo","3.3.2"
